filename,ssim,psnr,status
EES0429198__X12__Y15.jpg,0.758224,22.990823,ok
EES0429198__X12__Y18.jpg,0.768266,22.579832,ok
EES0429198__X12__Y1B.jpg,0.782066,24.468112,ok
EES0429198__X12__Y2A.jpg,0.772175,22.067979,ok
EES0429198__X12__Y2D.jpg,0.837115,23.548290,ok
EES0429198__X15__Y12.jpg,0.769068,21.995197,ok
EES0429198__X15__Y15.jpg,0.752919,24.265357,ok
EES0429198__X15__Y18.jpg,0.761168,22.969715,ok
EES0429198__X15__Y1B.jpg,0.711738,22.845518,ok
EES0429198__X15__Y1E.jpg,0.827940,23.808576,ok
EES0429198__X15__Y21.jpg,0.799704,23.090029,ok
EES0429198__X15__Y27.jpg,0.803760,22.970150,ok
EES0429198__X15__Y2D.jpg,0.768529,24.212536,ok
EES0429198__X15__Y30.jpg,0.735368,21.559347,ok
EES0429198__X18__Y15.jpg,0.756020,21.855158,ok
EES0429198__X18__Y18.jpg,0.734704,22.833856,ok
EES0429198__X18__Y1E.jpg,0.828526,22.601495,ok
EES0429198__X18__Y21.jpg,0.827471,25.031170,ok
EES0429198__X18__Y24.jpg,0.836806,23.637161,ok
EES0429198__X18__Y27.jpg,0.818802,24.474947,ok
EES0429198__X18__Y2A.jpg,0.764534,22.569600,ok
EES0429198__X18__Y2D.jpg,0.734166,23.505708,ok
EES0429198__X18__Y30.jpg,0.800901,23.778168,ok
EES0429198__X18__Y33.jpg,0.692208,21.820049,ok
EES0429198__X1B__Y09.jpg,0.848390,24.224226,ok
EES0429198__X1B__Y18.jpg,0.745531,22.559232,ok
EES0429198__X1B__Y1B.jpg,0.738173,23.290527,ok
EES0429198__X1B__Y1E.jpg,0.748273,24.470989,ok
EES0429198__X1B__Y21.jpg,0.761054,23.473946,ok
EES0429198__X1B__Y24.jpg,0.807481,23.583361,ok
EES0429198__X1B__Y27.jpg,0.778079,23.812108,ok
EES0429198__X1B__Y30.jpg,0.793698,23.646594,ok
EES0429198__X1B__Y33.jpg,0.825036,23.941654,ok
EES0429198__X1B__Y36.jpg,0.854281,25.194726,ok
EES0429198__X1E__Y15.jpg,0.762973,22.023054,ok
EES0429198__X1E__Y18.jpg,0.761203,22.108158,ok
EES0429198__X1E__Y21.jpg,0.732522,21.870838,ok
EES0429198__X1E__Y24.jpg,0.731821,23.262817,ok
EES0429198__X1E__Y27.jpg,0.784888,22.759999,ok
EES0429198__X1E__Y30.jpg,0.796065,23.377680,ok
EES0429198__X1E__Y33.jpg,0.813996,23.002948,ok
EES0429198__X1E__Y36.jpg,0.811881,23.639294,ok
EES0429198__X1E__Y39.jpg,0.800798,22.645339,ok
EES0429198__X21__Y0C.jpg,0.783563,22.266878,ok
EES0429198__X21__Y33.jpg,0.740721,23.080715,ok
EES0429198__X21__Y36.jpg,0.788692,23.734260,ok
EES0429198__X21__Y39.jpg,0.803035,23.407014,ok
EES0429198__X24__Y06.jpg,0.795562,22.367725,ok
EES0429198__X24__Y09.jpg,0.802345,22.666344,ok
EES0429198__X24__Y0C.jpg,0.737664,21.575455,ok
EES0429198__X24__Y36.jpg,0.775468,23.771348,ok
EES0429198__X24__Y39.jpg,0.739651,21.817085,ok
EES0429198__X27__Y0C.jpg,0.795199,22.430271,ok
EES0429198__X27__Y2D.jpg,0.794452,22.373767,ok
EES0429198__X27__Y30.jpg,0.758209,24.597159,ok
EES0429198__X27__Y33.jpg,0.796766,24.503871,ok
EES0429198__X27__Y39.jpg,0.823632,24.329789,ok
EES0429198__X2A__Y33.jpg,0.757205,22.162279,ok
EES0429198__X33__Y09.jpg,0.773628,22.414279,ok
EES0429198__X39__Y21.jpg,0.805315,23.250299,ok
EES0429198__X39__Y24.jpg,0.727709,21.405549,ok
