filename,ssim,psnr,status
EES0429198__X12__Y15.jpg,0.695870,15.420827,ok
EES0429198__X12__Y18.jpg,0.670409,15.745754,ok
EES0429198__X12__Y1B.jpg,0.697260,16.189519,ok
EES0429198__X12__Y2A.jpg,0.666596,15.114692,ok
EES0429198__X12__Y2D.jpg,0.789405,18.289230,ok
EES0429198__X15__Y12.jpg,0.697358,16.598604,ok
EES0429198__X15__Y15.jpg,0.640830,15.842740,ok
EES0429198__X15__Y18.jpg,0.673832,17.013967,ok
EES0429198__X15__Y1B.jpg,0.597273,16.175873,ok
EES0429198__X15__Y1E.jpg,0.797252,18.192450,ok
EES0429198__X15__Y21.jpg,0.721673,15.846545,ok
EES0429198__X15__Y27.jpg,0.734914,17.274505,ok
EES0429198__X15__Y2D.jpg,0.721457,17.962044,ok
EES0429198__X15__Y30.jpg,0.652938,15.474333,ok
EES0429198__X18__Y15.jpg,0.668212,16.279346,ok
EES0429198__X18__Y18.jpg,0.648326,16.816499,ok
EES0429198__X18__Y1E.jpg,0.798411,18.887984,ok
EES0429198__X18__Y21.jpg,0.756053,17.129180,ok
EES0429198__X18__Y24.jpg,0.776262,17.213648,ok
EES0429198__X18__Y27.jpg,0.763435,16.691705,ok
EES0429198__X18__Y2A.jpg,0.693542,16.806272,ok
EES0429198__X18__Y2D.jpg,0.633303,15.865053,ok
EES0429198__X18__Y30.jpg,0.705965,16.180694,ok
EES0429198__X18__Y33.jpg,0.613479,15.829997,ok
EES0429198__X1B__Y09.jpg,0.824638,19.043073,ok
EES0429198__X1B__Y18.jpg,0.661828,16.815995,ok
EES0429198__X1B__Y1B.jpg,0.660353,15.980562,ok
EES0429198__X1B__Y1E.jpg,0.622112,14.500915,ok
EES0429198__X1B__Y21.jpg,0.715957,17.061549,ok
EES0429198__X1B__Y24.jpg,0.731958,17.419001,ok
EES0429198__X1B__Y27.jpg,0.687831,15.648451,ok
EES0429198__X1B__Y30.jpg,0.700830,15.927252,ok
EES0429198__X1B__Y33.jpg,0.769042,17.429700,ok
EES0429198__X1B__Y36.jpg,0.839079,19.874646,ok
EES0429198__X1E__Y15.jpg,0.713713,17.141880,ok
EES0429198__X1E__Y18.jpg,0.713776,18.047178,ok
EES0429198__X1E__Y21.jpg,0.645470,16.429800,ok
EES0429198__X1E__Y24.jpg,0.659439,17.130841,ok
EES0429198__X1E__Y27.jpg,0.730514,17.624978,ok
EES0429198__X1E__Y30.jpg,0.746042,17.446196,ok
EES0429198__X1E__Y33.jpg,0.753448,17.399029,ok
EES0429198__X1E__Y36.jpg,0.762510,17.980844,ok
EES0429198__X1E__Y39.jpg,0.751299,17.236664,ok
EES0429198__X21__Y0C.jpg,0.726614,17.195396,ok
EES0429198__X21__Y33.jpg,0.641227,15.703272,ok
