filename,ssim,psnr,status
EES0429198__X12__Y15.jpg,0.649839,13.369813,ok
EES0429198__X12__Y18.jpg,0.610954,12.905801,ok
EES0429198__X12__Y1B.jpg,0.655808,13.482659,ok
EES0429198__X12__Y2A.jpg,0.655951,13.889318,ok
EES0429198__X12__Y2D.jpg,0.753335,14.988849,ok
EES0429198__X15__Y12.jpg,0.665132,13.781759,ok
EES0429198__X15__Y15.jpg,0.587146,12.564109,ok
EES0429198__X15__Y18.jpg,0.590612,12.153354,ok
EES0429198__X15__Y1B.jpg,0.555048,12.906019,ok
EES0429198__X15__Y1E.jpg,0.760413,16.079188,ok
EES0429198__X15__Y21.jpg,0.692439,14.716698,ok
EES0429198__X15__Y27.jpg,0.670964,13.674627,ok
EES0429198__X15__Y2D.jpg,0.655783,13.686572,ok
EES0429198__X15__Y30.jpg,0.602974,13.169609,ok
EES0429198__X18__Y15.jpg,0.631330,12.904892,ok
EES0429198__X18__Y18.jpg,0.577301,12.875763,ok
EES0429198__X18__Y1E.jpg,0.754401,14.652351,ok
EES0429198__X18__Y21.jpg,0.717571,13.906801,ok
EES0429198__X18__Y24.jpg,0.751885,15.155743,ok
EES0429198__X18__Y27.jpg,0.750469,15.101241,ok
EES0429198__X18__Y2A.jpg,0.649449,13.361963,ok
EES0429198__X18__Y2D.jpg,0.590179,12.040506,ok
EES0429198__X18__Y30.jpg,0.686890,13.664362,ok
EES0429198__X18__Y33.jpg,0.523766,11.231924,ok
EES0429198__X1B__Y09.jpg,0.797908,16.475010,ok
EES0429198__X1B__Y18.jpg,0.616492,12.741119,ok
EES0429198__X1B__Y1B.jpg,0.646724,12.971367,ok
EES0429198__X1B__Y1E.jpg,0.586398,11.877004,ok
EES0429198__X1B__Y21.jpg,0.670118,14.295322,ok
EES0429198__X1B__Y24.jpg,0.685495,13.426023,ok
EES0429198__X1B__Y27.jpg,0.667491,13.288278,ok
EES0429198__X1B__Y30.jpg,0.693614,13.676930,ok
EES0429198__X1B__Y33.jpg,0.745574,14.784725,ok
EES0429198__X1B__Y36.jpg,0.805005,15.637282,ok
