filename,ssim,psnr,status
EES0429198__X12__Y15.jpg,0.669152,15.849349,ok
EES0429198__X12__Y18.jpg,0.584170,15.133512,ok
EES0429198__X12__Y1B.jpg,0.624229,16.285925,ok
EES0429198__X12__Y2A.jpg,0.673373,16.787850,ok
EES0429198__X12__Y2D.jpg,0.768075,19.162939,ok
EES0429198__X15__Y12.jpg,0.663655,16.511169,ok
EES0429198__X15__Y15.jpg,0.564434,14.818497,ok
EES0429198__X15__Y18.jpg,0.602943,16.207115,ok
EES0429198__X15__Y1B.jpg,0.572834,17.074851,ok
EES0429198__X15__Y1E.jpg,0.764769,18.126941,ok
EES0429198__X15__Y21.jpg,0.691557,16.517110,ok
EES0429198__X15__Y27.jpg,0.690921,17.224192,ok
EES0429198__X15__Y2D.jpg,0.640728,17.082120,ok
EES0429198__X15__Y30.jpg,0.612586,16.001830,ok
EES0429198__X18__Y15.jpg,0.632039,16.880685,ok
EES0429198__X18__Y18.jpg,0.527331,14.437120,ok
EES0429198__X18__Y1E.jpg,0.784122,21.647202,ok
EES0429198__X18__Y21.jpg,0.676262,16.152095,ok
EES0429198__X18__Y24.jpg,0.739818,16.659656,ok
EES0429198__X18__Y27.jpg,0.732342,16.342805,ok
EES0429198__X18__Y2A.jpg,0.640645,16.401740,ok
EES0429198__X18__Y2D.jpg,0.585806,15.972153,ok
EES0429198__X18__Y30.jpg,0.639841,15.107469,ok
EES0429198__X18__Y33.jpg,0.545944,15.337741,ok
EES0429198__X1B__Y09.jpg,0.778929,16.564614,ok
EES0429198__X1B__Y18.jpg,0.621577,16.437188,ok
EES0429198__X1B__Y1B.jpg,0.630183,16.484181,ok
EES0429198__X1B__Y1E.jpg,0.574212,14.189313,ok
EES0429198__X1B__Y21.jpg,0.667653,17.390050,ok
EES0429198__X1B__Y24.jpg,0.658811,16.220171,ok
EES0429198__X1B__Y27.jpg,0.676725,17.702809,ok
EES0429198__X1B__Y30.jpg,0.658833,15.743238,ok
EES0429198__X1B__Y33.jpg,0.703090,15.395391,ok
EES0429198__X1B__Y36.jpg,0.804129,19.994055,ok
EES0429198__X1E__Y15.jpg,0.640418,15.261721,ok
EES0429198__X1E__Y18.jpg,0.653919,17.051217,ok
EES0429198__X1E__Y21.jpg,0.605354,16.284492,ok
EES0429198__X1E__Y24.jpg,0.599997,15.914762,ok
EES0429198__X1E__Y27.jpg,0.676498,15.582448,ok
EES0429198__X1E__Y30.jpg,0.707598,17.254501,ok
EES0429198__X1E__Y33.jpg,0.724614,16.017290,ok
EES0429198__X1E__Y36.jpg,0.666664,16.946272,ok
EES0429198__X1E__Y39.jpg,0.703039,15.335418,ok
EES0429198__X21__Y0C.jpg,0.684954,16.137892,ok
EES0429198__X21__Y33.jpg,0.556549,14.674118,ok
EES0429198__X21__Y36.jpg,0.665999,16.414151,ok
EES0429198__X21__Y39.jpg,0.682496,15.884571,ok
EES0429198__X24__Y06.jpg,0.705050,17.017911,ok
EES0429198__X24__Y09.jpg,0.665766,17.049013,ok
EES0429198__X24__Y0C.jpg,0.582501,15.872214,ok
EES0429198__X24__Y36.jpg,0.656434,15.727276,ok
EES0429198__X24__Y39.jpg,0.587669,15.995142,ok
EES0429198__X27__Y0C.jpg,0.701554,16.786455,ok
EES0429198__X27__Y2D.jpg,0.623595,15.874441,ok
EES0429198__X27__Y30.jpg,0.587585,14.953682,ok
EES0429198__X27__Y33.jpg,0.667917,16.682299,ok
EES0429198__X27__Y39.jpg,0.797751,20.761405,ok
EES0429198__X2A__Y33.jpg,0.628135,15.857600,ok
EES0429198__X33__Y09.jpg,0.575526,14.472614,ok
EES0429198__X39__Y21.jpg,0.647764,15.339620,ok
EES0429198__X39__Y24.jpg,0.646051,16.642497,ok
EES0429198__X42__Y27.jpg,0.560432,14.936679,ok
EES0429200__X06__Y09.jpg,0.891187,24.765518,ok
EES0429200__X09__Y1E.jpg,0.885166,23.904763,ok
EES0429200__X09__Y21.jpg,0.785917,21.346183,ok
EES0429200__X09__Y27.jpg,0.940982,28.135505,ok
EES0429200__X0C__Y12.jpg,0.921332,23.671457,ok
EES0429200__X0C__Y15.jpg,0.730551,21.682511,ok
EES0429200__X0C__Y2D.jpg,0.751964,19.704127,ok
EES0429200__X0C__Y30.jpg,0.811583,23.196688,ok
EES0429200__X0F__Y0C.jpg,0.800174,22.481142,ok
EES0429200__X0F__Y0F.jpg,0.686648,17.562112,ok
EES0429200__X0F__Y33.jpg,0.761449,20.691347,ok
EES0429200__X12__Y09.jpg,0.697339,18.870534,ok
EES0429200__X12__Y36.jpg,0.671308,16.609692,ok
EES0429200__X12__Y39.jpg,0.794885,22.027181,ok
EES0429200__X15__Y06.jpg,0.956695,31.314316,ok
EES0429200__X15__Y09.jpg,0.566183,14.960856,ok
EES0429200__X15__Y39.jpg,0.671352,13.836647,ok
EES0429200__X18__Y06.jpg,0.929186,27.581204,ok
EES0429200__X18__Y3C.jpg,0.656116,16.083634,ok
EES0429200__X1B__Y3F.jpg,0.756828,21.269767,ok
EES0429200__X1E__Y03.jpg,0.589787,13.896347,ok
EES0429200__X1E__Y3F.jpg,0.766079,22.601755,ok
EES0429200__X24__Y42.jpg,0.875790,22.975607,ok
EES0429200__X27__Y42.jpg,0.808931,22.638434,ok
EES0429200__X2A__Y42.jpg,0.771722,22.189137,ok
EES0429200__X2D__Y42.jpg,0.770050,20.658310,ok
EES0429200__X33__Y3F.jpg,0.723407,19.073680,ok
EES0429200__X36__Y3F.jpg,0.838828,23.002115,ok
EES0429200__X39__Y06.jpg,0.834001,21.318034,ok
EES0429200__X39__Y3C.jpg,0.794951,22.951366,ok
EES0429200__X3C__Y09.jpg,0.581570,14.960763,ok
EES0429200__X3C__Y39.jpg,0.613263,16.587297,ok
EES0429200__X3F__Y0C.jpg,0.650673,18.067821,ok
EES0429200__X3F__Y36.jpg,0.650167,17.870790,ok
EES0429200__X42__Y0F.jpg,0.937173,29.104865,ok
EES0429200__X42__Y33.jpg,0.722376,17.436078,ok
EES0429200__X45__Y15.jpg,0.724056,21.413950,ok
EES0429200__X45__Y2A.jpg,0.596326,16.496109,ok
EES0429200__X45__Y2D.jpg,0.585660,14.907601,ok
EES0429200__X45__Y30.jpg,0.843091,22.980495,ok
EES0429202__X0F__Y1B.jpg,0.784078,21.351743,ok
EES0429202__X0F__Y24.jpg,0.857132,21.607230,ok
EES0429202__X12__Y27.jpg,0.822044,20.500993,ok
EES0429202__X18__Y06.jpg,0.961991,34.501480,ok
EES0429202__X1B__Y06.jpg,0.820747,22.225154,ok
EES0429202__X1B__Y36.jpg,0.879622,21.260976,ok
EES0429202__X1E__Y06.jpg,0.849014,20.877301,ok
EES0429202__X1E__Y33.jpg,0.814122,20.754813,ok
EES0429202__X21__Y36.jpg,0.741633,16.252238,ok
EES0429202__X21__Y3C.jpg,0.830451,21.145539,ok
EES0429202__X2D__Y06.jpg,0.928834,30.904301,ok
EES0429202__X39__Y3C.jpg,0.950977,32.531726,ok
EES0429203__X0F__Y18.jpg,0.702906,15.317530,ok
EES0429203__X0F__Y21.jpg,0.778314,21.096092,ok
EES0429203__X0F__Y24.jpg,0.645644,14.839154,ok
EES0429203__X0F__Y27.jpg,0.639431,14.599849,ok
EES0429203__X15__Y36.jpg,0.791341,20.783826,ok
EES0429203__X1E__Y06.jpg,0.873851,20.741764,ok
EES0429203__X27__Y3F.jpg,0.862547,21.684135,ok
EES0429203__X33__Y3F.jpg,0.815506,20.418002,ok
EES0429203__X39__Y09.jpg,0.951176,31.756767,ok
