filename,ssim,psnr,status
EES0429200__X06__Y09.jpg,0.893170,28.860291,ok
EES0429200__X09__Y1E.jpg,0.866165,26.357720,ok
EES0429200__X09__Y21.jpg,0.853080,29.237858,ok
EES0429200__X09__Y27.jpg,0.921708,29.446214,ok
EES0429200__X0C__Y12.jpg,0.936166,36.690492,ok
EES0429200__X0C__Y15.jpg,0.792054,22.963847,ok
EES0429200__X0C__Y2D.jpg,0.862108,27.975286,ok
EES0429200__X0C__Y30.jpg,0.867967,27.229329,ok
EES0429200__X0F__Y0C.jpg,0.851953,27.285326,ok
EES0429200__X0F__Y0F.jpg,0.826324,27.636427,ok
EES0429200__X0F__Y33.jpg,0.847290,29.063957,ok
EES0429200__X12__Y09.jpg,0.808964,26.067820,ok
EES0429200__X12__Y36.jpg,0.813095,26.238256,ok
EES0429200__X12__Y39.jpg,0.873553,30.788719,ok
EES0429200__X15__Y06.jpg,0.943949,36.150729,ok
EES0429200__X15__Y09.jpg,0.727264,23.469897,ok
EES0429200__X15__Y39.jpg,0.848512,30.182283,ok
EES0429200__X18__Y06.jpg,0.907187,26.468012,ok
EES0429200__X18__Y3C.jpg,0.820498,28.007930,ok
EES0429200__X1B__Y3F.jpg,0.844805,27.085500,ok
EES0429200__X1E__Y03.jpg,0.824360,28.179315,ok
EES0429200__X1E__Y3F.jpg,0.820093,23.636317,ok
EES0429200__X24__Y42.jpg,0.889634,29.932977,ok
EES0429200__X27__Y42.jpg,0.876643,28.108924,ok
EES0429200__X2A__Y42.jpg,0.834340,27.407816,ok
EES0429200__X2D__Y42.jpg,0.844516,28.168363,ok
EES0429200__X33__Y3F.jpg,0.816982,26.620877,ok
EES0429200__X36__Y3F.jpg,0.876217,29.117675,ok
EES0429200__X39__Y06.jpg,0.837061,24.079971,ok
EES0429200__X39__Y3C.jpg,0.864454,29.506504,ok
EES0429200__X3C__Y09.jpg,0.806918,25.609437,ok
EES0429200__X3C__Y39.jpg,0.786242,24.632897,ok
EES0429200__X3F__Y0C.jpg,0.799189,22.455812,ok
EES0429200__X3F__Y36.jpg,0.784766,24.517618,ok
EES0429200__X42__Y0F.jpg,0.914827,30.116586,ok
EES0429200__X42__Y33.jpg,0.844578,28.067783,ok
EES0429200__X45__Y15.jpg,0.825261,25.272161,ok
EES0429200__X45__Y2A.jpg,0.808141,23.917297,ok
EES0429200__X45__Y2D.jpg,0.858845,29.596164,ok
EES0429200__X45__Y30.jpg,0.895453,30.185524,ok
EES0429202__X0F__Y1B.jpg,0.840973,22.930307,ok
EES0429202__X0F__Y24.jpg,0.851989,23.467965,ok
EES0429202__X12__Y27.jpg,0.850075,22.705037,ok
EES0429202__X18__Y06.jpg,0.940373,35.445447,ok
EES0429202__X1B__Y06.jpg,0.862362,23.658450,ok
EES0429202__X1B__Y36.jpg,0.879521,23.582070,ok
EES0429202__X1E__Y06.jpg,0.869327,23.802867,ok
EES0429202__X1E__Y33.jpg,0.842732,23.342055,ok
EES0429202__X21__Y36.jpg,0.828525,22.636009,ok
EES0429202__X21__Y3C.jpg,0.859174,22.853133,ok
EES0429202__X2D__Y06.jpg,0.922456,31.775095,ok
EES0429202__X39__Y3C.jpg,0.927565,31.804142,ok
EHG0494806__X06__Y2A.jpg,0.968177,23.879837,ok
EHG0494806__X09__Y33.jpg,0.956675,23.673730,ok
EHG0494809__X30__Y42.jpg,0.952985,23.415382,ok
EHG0494809__X42__Y33.jpg,0.960174,24.713283,ok
EHG0494809__X42__Y45.jpg,0.962495,25.061085,ok
EHG0494812__X21__Y42.jpg,0.954624,23.786111,ok
EHG0494812__X27__Y45.jpg,0.939784,23.515667,ok
EHG0494812__X36__Y42.jpg,0.962558,23.593559,ok
EHG0494812__X36__Y45.jpg,0.962377,24.060732,ok
EHG0494812__X3F__Y1B.jpg,0.921942,24.128344,ok
EHG0494812__X42__Y42.jpg,0.971361,24.313290,ok
EHG0494820__X2A__Y48.jpg,0.967825,24.318915,ok
EHG0494820__X33__Y30.jpg,0.838532,22.897285,ok
EHG0494820__X39__Y39.jpg,0.881177,22.829776,ok
EHG0494820__X48__Y09.jpg,0.976214,26.268901,ok
EHG0494820__X48__Y0C.jpg,0.977428,26.384322,ok
EHG0494820__X48__Y0F.jpg,0.975735,24.695568,ok
EHG0494820__X48__Y3F.jpg,0.970339,24.701664,ok
EHG0494820__X48__Y42.jpg,0.968914,24.664553,ok
EHG0494821__X06__Y0F.jpg,0.922753,24.269404,ok
EHG0494821__X06__Y12.jpg,0.933381,25.907170,ok
EHG0494821__X06__Y15.jpg,0.818327,22.267120,ok
EHG0494821__X06__Y27.jpg,0.858366,24.228884,ok
EHG0494821__X06__Y2A.jpg,0.877853,25.116376,ok
EHG0494821__X06__Y2D.jpg,0.864608,23.865666,ok
EHG0494821__X06__Y30.jpg,0.887130,23.205286,ok
EHG0494821__X09__Y33.jpg,0.918555,23.989698,ok
EHG0494821__X12__Y3C.jpg,0.965579,24.144568,ok
EHG0494821__X18__Y3F.jpg,0.977494,24.774012,ok
EHG0494821__X1B__Y03.jpg,0.927831,26.559074,ok
EHG0494821__X1B__Y06.jpg,0.772946,22.112389,ok
EHG0494821__X1E__Y03.jpg,0.952177,26.813818,ok
EHG0494821__X21__Y03.jpg,0.932056,24.866582,ok
EHG0494821__X21__Y42.jpg,0.940262,24.222877,ok
EHG0494821__X24__Y03.jpg,0.953976,24.071407,ok
EHG0494821__X24__Y42.jpg,0.901226,23.671594,ok
EHG0494821__X2A__Y06.jpg,0.965806,23.937363,ok
EHG0494821__X2D__Y06.jpg,0.971761,23.584444,ok
EHG0494821__X48__Y06.jpg,0.973523,25.757953,ok
EHG0494821__X48__Y09.jpg,0.975328,26.122617,ok
EHG0494821__X48__Y0C.jpg,0.978645,26.217619,ok
EHG0494821__X48__Y0F.jpg,0.980774,26.325231,ok
EHG0494821__X48__Y12.jpg,0.979357,26.553239,ok
EHG0494821__X48__Y15.jpg,0.977411,26.371776,ok
EHG0494821__X48__Y18.jpg,0.979291,26.188133,ok
EHG0494821__X48__Y1B.jpg,0.971736,25.500925,ok
EHG0494821__X48__Y1E.jpg,0.975977,25.806509,ok
EHG0494821__X48__Y21.jpg,0.978702,26.381739,ok
EHG0494821__X48__Y24.jpg,0.971765,23.897406,ok
EHG0494821__X48__Y2A.jpg,0.973782,24.734058,ok
EHG0494821__X48__Y2D.jpg,0.979526,26.306602,ok
EHG0494821__X48__Y30.jpg,0.981140,26.605653,ok
EHG0494821__X48__Y33.jpg,0.977159,26.270310,ok
EHG0494821__X48__Y36.jpg,0.977869,26.425421,ok
EHG0494821__X48__Y39.jpg,0.979458,26.668031,ok
EHG0494821__X48__Y3C.jpg,0.971663,26.445871,ok
EHG0494821__X48__Y3F.jpg,0.973592,26.577357,ok
EHG0494821__X48__Y42.jpg,0.975089,26.346446,ok
EHG0494821__X48__Y45.jpg,0.971403,25.569946,ok
EHG0494823__X03__Y33.jpg,0.962461,24.148193,ok
EHG0494823__X06__Y33.jpg,0.958627,23.567637,ok
EHG0494823__X09__Y36.jpg,0.968482,24.589806,ok
EHG0494823__X0C__Y36.jpg,0.918451,23.073309,ok
EHG0494823__X39__Y45.jpg,0.958790,23.911430,ok
EHG0494823__X45__Y30.jpg,0.970742,25.523973,ok
EHG0494825__X48__Y06.jpg,0.969133,27.536849,ok
EHG0494825__X48__Y09.jpg,0.962786,27.392095,ok
EHG0494825__X48__Y0C.jpg,0.964860,27.134964,ok
EHG0494825__X48__Y0F.jpg,0.969948,27.292209,ok
EHG0494825__X48__Y12.jpg,0.970833,28.055769,ok
EHG0494825__X48__Y15.jpg,0.961204,24.782498,ok
EHG0494825__X48__Y1B.jpg,0.968414,27.202758,ok
EHG0494825__X48__Y1E.jpg,0.968413,27.897195,ok
EHG0494825__X48__Y21.jpg,0.968318,27.819876,ok
EHG0494825__X48__Y24.jpg,0.953069,24.530831,ok
EHG0494825__X48__Y2A.jpg,0.949447,25.719314,ok
EHG0494825__X48__Y2D.jpg,0.961850,27.060555,ok
EHG0494825__X48__Y30.jpg,0.956620,27.243085,ok
EHG0494825__X48__Y33.jpg,0.953660,27.726353,ok
EHG0494825__X48__Y36.jpg,0.962098,27.847594,ok
EHG0494825__X48__Y39.jpg,0.965028,28.033245,ok
EHG0494826__X1E__Y03.jpg,0.970870,25.366493,ok
EHG0494826__X21__Y03.jpg,0.970193,26.933658,ok
EHG0494826__X21__Y06.jpg,0.903803,24.167239,ok
EHG0494826__X24__Y03.jpg,0.963469,27.330263,ok
EHG0494826__X27__Y03.jpg,0.963450,26.972231,ok
EHG0494826__X2A__Y03.jpg,0.967162,23.889500,ok
EHG0494826__X42__Y21.jpg,0.930777,23.289533,ok
EHG0494829__X48__Y06.jpg,0.969691,26.202655,ok
EHG0494829__X48__Y09.jpg,0.970867,26.195474,ok
EHG0494829__X48__Y0C.jpg,0.963490,25.952575,ok
EHG0494829__X48__Y0F.jpg,0.974154,26.222570,ok
EHG0494829__X48__Y12.jpg,0.968290,26.244741,ok
EHG0494829__X48__Y15.jpg,0.969115,26.130591,ok
EHG0494829__X48__Y18.jpg,0.965783,26.655184,ok
EHG0494829__X48__Y1B.jpg,0.972837,26.446263,ok
EHG0494829__X48__Y1E.jpg,0.973141,26.585415,ok
EHG0494829__X48__Y21.jpg,0.969325,26.098333,ok
EHG0494829__X48__Y24.jpg,0.976994,26.482983,ok
EHG0494829__X48__Y27.jpg,0.968406,23.716263,ok
EHG0494836__X03__Y18.jpg,0.956915,24.822523,ok
EHG0494836__X03__Y1B.jpg,0.953607,27.070218,ok
EHG0494836__X24__Y45.jpg,0.913027,26.092198,ok
EHG0494836__X27__Y06.jpg,0.945230,25.962793,ok
EHG0494836__X27__Y45.jpg,0.932734,24.605862,ok
