filename,ssim,psnr,status
EES0429203__X0F__Y18.jpg,0.837414,23.789584,ok
EES0429203__X0F__Y21.jpg,0.837715,25.242641,ok
EES0429203__X0F__Y24.jpg,0.844604,24.252633,ok
EES0429203__X0F__Y27.jpg,0.810495,22.278572,ok
EES0429203__X15__Y36.jpg,0.839279,23.385571,ok
EES0429203__X1E__Y06.jpg,0.882325,23.053224,ok
EES0429203__X27__Y3F.jpg,0.865690,25.573692,ok
EES0429203__X33__Y3F.jpg,0.863058,22.982236,ok
EES0429203__X39__Y09.jpg,0.926936,29.644754,ok
EES0429203__X3C__Y0C.jpg,0.929237,27.355077,ok
EES0429203__X42__Y12.jpg,0.880375,22.886820,ok
EES0429203__X42__Y15.jpg,0.870035,24.045014,ok
EES0429203__X42__Y36.jpg,0.897042,23.868576,ok
EES0429203__X45__Y18.jpg,0.884746,24.287122,ok
EES0429203__X45__Y2A.jpg,0.864168,24.014360,ok
EES0429203__X45__Y2D.jpg,0.861818,22.640115,ok
EES0429203__X48__Y1E.jpg,0.917934,24.649059,ok
EES0429203__X48__Y21.jpg,0.909552,23.240508,ok
EES0429206__X06__Y1E.jpg,0.903931,28.713938,ok
EES0429206__X06__Y21.jpg,0.874782,25.431644,ok
EES0429206__X06__Y24.jpg,0.937656,32.319884,ok
EES0429206__X06__Y27.jpg,0.930244,36.287490,ok
EES0429206__X09__Y18.jpg,0.866748,25.143142,ok
EES0429206__X09__Y1B.jpg,0.837943,25.656890,ok
EES0429206__X09__Y2A.jpg,0.755746,22.415525,ok
EES0429206__X09__Y2D.jpg,0.847392,26.092306,ok
EES0429206__X0C__Y12.jpg,0.880577,26.694836,ok
EES0429206__X0C__Y15.jpg,0.742279,23.288234,ok
EES0429206__X0C__Y18.jpg,0.812388,25.716510,ok
EES0429206__X0C__Y33.jpg,0.826824,23.461018,ok
EES0429206__X0F__Y0F.jpg,0.737019,22.995121,ok
EES0429206__X15__Y3C.jpg,0.858497,27.252538,ok
EES0429206__X1E__Y03.jpg,0.842070,27.294105,ok
EES0429206__X1E__Y3F.jpg,0.798256,24.784963,ok
EES0429206__X21__Y03.jpg,0.849544,27.014899,ok
EES0429206__X27__Y03.jpg,0.801514,22.566229,ok
EES0429206__X2A__Y03.jpg,0.890180,24.467626,ok
EES0429206__X2A__Y3F.jpg,0.809610,24.022077,ok
EES0429206__X2D__Y03.jpg,0.817835,22.318774,ok
EES0429206__X2D__Y3F.jpg,0.888776,26.910224,ok
EES0429206__X30__Y3F.jpg,0.907200,31.198120,ok
EES0429206__X33__Y3C.jpg,0.793989,23.783212,ok
EES0429206__X36__Y09.jpg,0.818228,22.944935,ok
EES0429206__X36__Y3C.jpg,0.812246,23.229270,ok
EES0429206__X39__Y0C.jpg,0.818709,23.262421,ok
EES0429206__X39__Y39.jpg,0.890272,29.189343,ok
EES0429206__X3C__Y0C.jpg,0.884581,26.951346,ok
EES0429206__X3C__Y0F.jpg,0.813715,25.445354,ok
EES0429206__X3C__Y33.jpg,0.808415,24.900188,ok
EES0429206__X3C__Y36.jpg,0.922095,30.166196,ok
EES0429206__X3F__Y0F.jpg,0.844190,25.163988,ok
EES0429206__X3F__Y12.jpg,0.840793,24.488244,ok
EES0429206__X3F__Y2D.jpg,0.792155,22.354437,ok
EES0429206__X3F__Y30.jpg,0.855750,28.565255,ok
EES0429206__X42__Y0F.jpg,0.849180,23.703610,ok
EES0429206__X42__Y15.jpg,0.937753,32.601015,ok
EES0429206__X42__Y18.jpg,0.907818,26.239270,ok
EES0429206__X42__Y1B.jpg,0.847103,26.358931,ok
EES0429206__X42__Y1E.jpg,0.831646,24.030448,ok
