filename,ssim,psnr,status
EES0429205__X18__Y1E.jpg,0.821827,22.972011,ok
EES0429205__X18__Y24.jpg,0.810341,22.641821,ok
EES0429205__X1B__Y1B.jpg,0.805618,22.508994,ok
EES0429205__X1E__Y21.jpg,0.826203,22.377601,ok
EES0429205__X21__Y09.jpg,0.868063,24.181161,ok
EES0429205__X2A__Y0C.jpg,0.907871,27.659593,ok
EES0429205__X2A__Y0F.jpg,0.860167,22.943936,ok
EES0429205__X2A__Y12.jpg,0.873443,22.871834,ok
EES0429205__X2D__Y0C.jpg,0.813718,22.529570,ok
EES0429205__X2D__Y0F.jpg,0.878577,23.758779,ok
EES0429205__X30__Y1B.jpg,0.833889,22.537057,ok
EES0429205__X33__Y0F.jpg,0.832634,23.063496,ok
EES0429205__X33__Y21.jpg,0.803791,22.639582,ok
EES0429205__X36__Y27.jpg,0.816638,22.196497,ok
EES0429205__X39__Y18.jpg,0.793903,22.292621,ok
EES0429205__X39__Y24.jpg,0.813322,22.785843,ok
EES0429205__X3C__Y36.jpg,0.879188,22.889430,ok
EES0429205__X3F__Y36.jpg,0.844094,22.883398,ok
EES0429205__X42__Y36.jpg,0.862055,23.502995,ok
EES0429205__X48__Y1B.jpg,0.916284,24.551275,ok
EES0429207__X0F__Y24.jpg,0.823019,22.772234,ok
EES0429207__X1E__Y3C.jpg,0.792240,22.161134,ok
EES0429207__X21__Y0C.jpg,0.788909,21.926147,ok
EES0429207__X2A__Y2D.jpg,0.851148,24.248068,ok
EES0429207__X33__Y09.jpg,0.858497,24.522621,ok
EES0429207__X36__Y3F.jpg,0.860098,22.674022,ok
EES0429207__X39__Y1B.jpg,0.770454,21.826080,ok
EES0429207__X3C__Y0F.jpg,0.922662,30.114569,ok
EES0429207__X3F__Y12.jpg,0.906366,29.411289,ok
EES0429214__X0C__Y27.jpg,0.858884,24.683154,ok
EES0429214__X1B__Y24.jpg,0.851178,22.861759,ok
EES0429214__X27__Y36.jpg,0.858854,23.060065,ok
EES0429214__X30__Y09.jpg,0.859912,22.662528,ok
EES0429214__X33__Y2D.jpg,0.831635,23.067136,ok
EES0429214__X33__Y33.jpg,0.874647,24.255078,ok
EES0429214__X36__Y0F.jpg,0.847266,23.595050,ok
EES0429214__X39__Y30.jpg,0.873364,22.809507,ok
EES0429214__X3C__Y24.jpg,0.897093,26.565304,ok
EES0429214__X3C__Y27.jpg,0.885420,24.513140,ok
EES0429214__X3C__Y30.jpg,0.884232,23.621899,ok
EES0429214__X3F__Y24.jpg,0.885438,24.813476,ok
EES0429214__X3F__Y2A.jpg,0.874235,24.456326,ok
EES0429214__X42__Y15.jpg,0.858650,23.514060,ok
EES0429214__X42__Y1B.jpg,0.847664,22.968350,ok
EES0429215__X12__Y21.jpg,0.788679,23.632749,ok
EES0429215__X12__Y24.jpg,0.807601,24.305550,ok
EES0429215__X12__Y27.jpg,0.839042,23.080792,ok
EES0429215__X15__Y1B.jpg,0.807276,24.280051,ok
EES0429215__X15__Y1E.jpg,0.774944,22.412118,ok
EES0429215__X15__Y27.jpg,0.769051,23.363959,ok
EES0429215__X15__Y2D.jpg,0.783921,22.983932,ok
EES0429215__X18__Y1B.jpg,0.785322,23.622947,ok
EES0429215__X1B__Y0F.jpg,0.896234,29.817639,ok
EES0429215__X1B__Y12.jpg,0.742774,23.840448,ok
EES0429215__X1B__Y21.jpg,0.726628,21.861661,ok
EES0429215__X1E__Y12.jpg,0.725552,22.091703,ok
EES0429215__X1E__Y21.jpg,0.772057,25.230320,ok
EES0429215__X1E__Y24.jpg,0.770377,22.235605,ok
EES0429215__X1E__Y30.jpg,0.814625,23.213106,ok
EES0429215__X1E__Y33.jpg,0.768717,22.725244,ok
EES0429215__X1E__Y36.jpg,0.735287,22.022742,ok
EES0429215__X21__Y12.jpg,0.704825,21.562626,ok
EES0429215__X21__Y2D.jpg,0.663618,21.755794,ok
EES0429215__X21__Y33.jpg,0.712837,23.620927,ok
EES0429215__X24__Y24.jpg,0.789687,23.446429,ok
EES0429215__X24__Y27.jpg,0.778851,23.257440,ok
EES0429215__X24__Y36.jpg,0.701811,21.199566,ok
EES0429215__X24__Y39.jpg,0.724853,22.100590,ok
EES0429215__X27__Y0C.jpg,0.829151,24.357904,ok
EES0429215__X27__Y2A.jpg,0.762886,22.949995,ok
EES0429215__X27__Y30.jpg,0.869320,24.865728,ok
EES0429215__X27__Y36.jpg,0.709515,21.935335,ok
EES0429215__X27__Y39.jpg,0.794747,22.501786,ok
EES0429215__X2A__Y18.jpg,0.771086,25.117391,ok
EES0429215__X2D__Y1E.jpg,0.739896,21.610400,ok
EES0429215__X2D__Y30.jpg,0.754394,21.974185,ok
EES0429215__X30__Y12.jpg,0.774995,24.065127,ok
EES0429215__X30__Y1B.jpg,0.775023,24.412339,ok
EES0429215__X30__Y1E.jpg,0.701331,21.725291,ok
EES0429215__X30__Y21.jpg,0.708078,22.000830,ok
EES0429215__X30__Y2D.jpg,0.762641,22.947120,ok
EES0429215__X30__Y3C.jpg,0.734385,23.083848,ok
EES0429215__X33__Y0C.jpg,0.789205,24.131791,ok
EES0429215__X33__Y0F.jpg,0.793656,22.522061,ok
EES0429215__X33__Y18.jpg,0.745307,22.633261,ok
EES0429215__X36__Y15.jpg,0.766470,24.432145,ok
EES0429215__X36__Y18.jpg,0.808882,24.652076,ok
EES0429215__X39__Y0F.jpg,0.805562,24.778680,ok
EES0429215__X3C__Y1E.jpg,0.769684,22.773190,ok
EES0429215__X3F__Y2D.jpg,0.802169,24.192711,ok
EES0429215__X42__Y15.jpg,0.842394,24.797462,ok
EES0429215__X42__Y1B.jpg,0.786174,24.443748,ok
EES0429215__X42__Y21.jpg,0.697609,22.368182,ok
EES0429225__X15__Y1E.jpg,0.792900,25.132854,ok
EES0429225__X15__Y21.jpg,0.713994,22.264299,ok
EES0429225__X15__Y24.jpg,0.692828,21.158725,ok
EES0429225__X15__Y27.jpg,0.767835,22.761709,ok
EES0429225__X24__Y24.jpg,0.746247,21.806685,ok
EES0429225__X30__Y2D.jpg,0.704878,21.635578,ok
EES0429225__X33__Y1B.jpg,0.742200,22.224876,ok
EES0429225__X33__Y2A.jpg,0.680721,21.824762,ok
EES0429225__X33__Y30.jpg,0.708128,21.956433,ok
EES0429225__X36__Y0F.jpg,0.729366,22.180872,ok
EES0429225__X36__Y27.jpg,0.729219,23.374699,ok
EES0429225__X39__Y27.jpg,0.752394,22.392159,ok
EES0429225__X39__Y36.jpg,0.689758,21.899071,ok
EES0429225__X39__Y39.jpg,0.713004,21.813383,ok
EES0429225__X3C__Y1B.jpg,0.700336,21.798355,ok
EES0429225__X3C__Y1E.jpg,0.695574,21.827588,ok
EES0429225__X3C__Y3C.jpg,0.740310,21.717750,ok
EES0429225__X3F__Y18.jpg,0.729245,21.698612,ok
EES0429225__X3F__Y1B.jpg,0.718723,21.729077,ok
EES0429225__X3F__Y1E.jpg,0.698988,22.641626,ok
EES0429225__X3F__Y24.jpg,0.728940,21.996644,ok
EES0429225__X42__Y0F.jpg,0.858097,22.828268,ok
EES0429241__X15__Y27.jpg,0.779644,21.972126,ok
EES0429241__X15__Y2A.jpg,0.789436,23.752638,ok
EES0429241__X18__Y1E.jpg,0.766422,22.688244,ok
EES0429241__X1B__Y21.jpg,0.773426,22.039444,ok
EES0429241__X2D__Y09.jpg,0.853808,22.546381,ok
EES0429241__X30__Y12.jpg,0.780039,23.341409,ok
EES0429241__X30__Y39.jpg,0.761825,21.669793,ok
EES0429241__X33__Y39.jpg,0.684560,21.437044,ok
EES0429241__X3F__Y0C.jpg,0.829473,22.801710,ok
EES0429241__X3F__Y0F.jpg,0.838346,22.693124,ok
EES0429241__X42__Y1E.jpg,0.776424,21.921838,ok
EES0429241__X42__Y21.jpg,0.818212,23.948570,ok
EES0429241__X42__Y33.jpg,0.826282,23.015416,ok
EES0429242__X09__Y24.jpg,0.908447,27.695680,ok
EES0429242__X09__Y27.jpg,0.876203,24.050178,ok
EES0429242__X12__Y39.jpg,0.836553,26.517148,ok
EES0429242__X18__Y36.jpg,0.683587,22.390753,ok
EES0429242__X18__Y3F.jpg,0.814535,24.987223,ok
EES0429242__X1B__Y24.jpg,0.741444,24.057162,ok
EES0429242__X1B__Y3F.jpg,0.789255,25.228089,ok
EES0429242__X1E__Y24.jpg,0.685061,22.110445,ok
EES0429242__X1E__Y27.jpg,0.833901,25.941239,ok
EES0429242__X1E__Y36.jpg,0.703558,23.100678,ok
EES0429242__X1E__Y39.jpg,0.727664,22.954463,ok
EES0429242__X1E__Y42.jpg,0.854333,24.384879,ok
EES0429242__X21__Y18.jpg,0.732262,23.598289,ok
EES0429242__X21__Y30.jpg,0.789725,23.179460,ok
EES0429242__X21__Y3C.jpg,0.767112,25.362532,ok
EES0429242__X21__Y3F.jpg,0.739985,23.319261,ok
EES0429242__X21__Y42.jpg,0.872430,26.633312,ok
EES0429242__X24__Y09.jpg,0.811989,25.959459,ok
EES0429242__X24__Y18.jpg,0.801703,25.778377,ok
EES0429242__X24__Y24.jpg,0.780226,24.481182,ok
EES0429242__X24__Y2A.jpg,0.753785,23.181667,ok
EES0429242__X24__Y36.jpg,0.714776,22.723681,ok
EES0429242__X24__Y39.jpg,0.708529,23.039667,ok
EES0429242__X24__Y3C.jpg,0.772458,24.311377,ok
EES0429242__X27__Y09.jpg,0.822084,24.690238,ok
EES0429242__X27__Y0C.jpg,0.714449,23.736843,ok
EES0429242__X27__Y24.jpg,0.769197,23.251831,ok
EES0429242__X2A__Y09.jpg,0.896481,28.612901,ok
